,Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
32,7,3,1.110753552529327,17,90,-0.802320784084273,1.5822736904769952,73,3,0.7834503187034332,-0.9798569240017728
33,4,4,-0.9374821446508234,20,76,1.3550902875001938,1.6567467057646377,63,3,-1.0872759741421596,1.0618186010923965
34,1,4,-0.9374821446508234,28,112,-0.08318376022278404,0.06798904629493698,96,5,-0.9014422364422661,-0.18174740055587033
35,10,3,-0.5790408976442973,37,36,-0.802320784084273,0.06798904629493698,106,3,-0.7899419938223302,-1.251128497266033
36,0,3,0.24025338122776266,37,47,-0.802320784084273,-1.51456252856746,88,2,0.027726452057200486,-1.082654572817703
37,4,3,1.110753552529327,14,79,-0.08318376022278404,0.06798904629493698,73,3,0.8949505613233689,-0.20887455788229634
38,7,3,0.24025338122776266,37,31,-0.802320784084273,-1.51456252856746,88,3,-0.2696075282626288,-0.9089122688675565
39,7,3,0.24025338122776266,17,79,-0.08318376022278404,0.06798904629493698,83,3,0.027726452057200486,-0.3516490701266438
40,2,3,0.24025338122776266,17,48,-0.802320784084273,-1.51456252856746,88,2,-0.09616270640939516,-1.0512441801239465
41,4,1,0.24025338122776266,14,117,1.3550902875001938,0.06798904629493698,15,3,0.7091168236234757,0.5335529057883105
42,2,3,0.24025338122776266,37,31,-0.08318376022278404,-1.51456252856746,24,2,0.2755047689903912,-0.8599406111677453
43,0,3,0.24025338122776266,14,79,-0.802320784084273,0.06798904629493698,63,3,0.15161561052379613,-0.6329148592480085
44,4,0,1.110753552529327,6,79,0.6359532636387049,-1.51456252856746,105,3,0.8577838137833905,-0.18031965543342687
45,1,4,-0.9374821446508234,1,115,-0.08318376022278404,0.06798904629493698,51,7,-0.8766644047489469,0.4193332959928327
47,2,1,1.110753552529327,17,52,-0.08318376022278404,0.06798904629493698,18,3,1.3905071951897516,0.24800388129961556
48,4,3,0.24025338122776266,17,31,-0.802320784084273,0.06798904629493698,81,3,0.2755047689903912,-0.6943078995130779
49,2,3,1.110753552529327,37,61,-0.802320784084273,-1.51456252856746,39,3,0.8949505613233689,-0.9413078056957991
51,0,3,0.24025338122776266,14,76,-0.08318376022278404,0.06798904629493698,29,3,0.15161561052379613,-0.40590338477949583
52,7,3,0.24025338122776266,17,90,-0.802320784084273,0.06798904629493698,9,3,-0.2696075282626288,-1.037694878911958
53,7,3,-0.9374821446508234,17,76,-0.08318376022278404,1.6567467057646377,63,3,-0.7279974145890324,-0.031834162699305626
54,0,3,0.24025338122776266,37,0,-0.802320784084273,-1.51456252856746,88,3,0.3993939274569869,-1.0583829057361638
55,4,3,0.24025338122776266,17,76,-0.08318376022278404,0.06798904629493698,54,3,0.0648931995971789,-0.5104143277423583
56,7,3,0.24025338122776266,17,48,-0.802320784084273,-0.7263897834399132,26,3,-0.20766294902933125,-0.9798569240017728
57,2,3,0.24025338122776266,37,31,-0.802320784084273,0.06798904629493698,88,3,-0.09616270640939516,-0.7697071194293178
58,11,1,1.110753552529327,17,117,1.3550902875001938,0.06798904629493698,82,3,0.4365606749969659,1.8899107721096116
59,2,3,0.24025338122776266,17,48,-0.802320784084273,0.06798904629493698,26,2,-0.09616270640939516,-1.0141228069404162
60,4,3,1.110753552529327,17,76,1.3550902875001938,0.06798904629493698,73,3,0.8949505613233689,0.24800388129961556
61,4,4,-0.5790408976442973,17,79,-0.08318376022278404,0.06798904629493698,63,3,-0.46783018180918184,-0.3516490701266438
62,10,3,-0.5790408976442973,14,47,-0.08318376022278404,0.06798904629493698,88,3,-0.46783018180918184,-0.7514177044108168
63,2,3,-0.5790408976442973,17,79,-0.08318376022278404,0.06798904629493698,63,3,-0.8394976572089685,-0.2631288725351484
64,7,3,0.24025338122776266,17,31,-0.08318376022278404,0.06798904629493698,88,3,-0.2696075282626288,-0.6214928982684607
65,2,4,0.24025338122776266,17,117,1.3550902875001938,1.6567467057646377,44,3,-0.3439410233425862,1.2245815450509525
66,7,3,0.24025338122776266,37,48,-0.802320784084273,1.5822736904769952,54,3,-0.2696075282626288,-0.9802995249897303
67,7,3,-0.5790408976442973,37,60,-0.802320784084273,-1.3221739057410509,53,3,-0.7899419938223302,-1.2796833997149024
68,10,3,0.24025338122776266,17,31,-0.802320784084273,-1.51456252856746,88,3,-0.22005186487599082,-0.8228049605329906
69,2,1,1.110753552529327,17,117,0.6359532636387049,-1.51456252856746,44,2,1.1427288782565603,-0.2517069115556006
70,13,4,-0.8350703597918161,36,31,-0.802320784084273,-0.7263897834399132,88,6,-1.0228536117395297,-0.05182259441351423
71,4,4,-0.9374821446508234,14,76,9.984734573838061,0.06798904629493698,73,3,-0.8394976572089685,-0.24314044082093977
72,4,3,0.24025338122776266,17,76,-0.08318376022278404,0.06798904629493698,73,3,0.15161561052379613,-0.3644987762286352
73,11,1,1.110753552529327,17,40,-0.08318376022278404,0.06798904629493698,90,3,0.7710614028567738,-0.04325612367885337
74,0,3,-0.5790408976442973,37,48,-0.08318376022278404,-1.51456252856746,26,3,0.027726452057200486,-1.0512441801239465
75,2,1,0.24025338122776266,17,117,-0.08318376022278404,-1.51456252856746,90,3,0.15161561052379613,-0.2517069115556006
76,10,3,0.24025338122776266,17,31,-0.08318376022278404,-1.5083564439601564,88,3,0.15161561052379613,-0.8656373142062949
