,Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,sold
44,4,0,1.110753552529327,20,38,0.6359532636387049,-1.51456252856746,42,3,0.8577838137833905,1
45,1,4,-0.9374821446508234,36,40,-0.08318376022278404,0.06798904629493698,82,6,-0.8766644047489469,0
47,2,1,1.110753552529327,25,52,-0.08318376022278404,0.06798904629493698,49,3,1.3905071951897516,0
48,4,3,0.24025338122776266,25,91,-0.802320784084273,0.06798904629493698,65,3,0.2755047689903912,0
49,2,3,1.110753552529327,7,109,-0.802320784084273,-1.51456252856746,5,3,0.8949505613233689,0
51,0,3,0.24025338122776266,29,87,-0.08318376022278404,0.06798904629493698,69,3,0.15161561052379613,0
52,7,3,0.24025338122776266,25,115,-0.802320784084273,0.06798904629493698,18,3,-0.2696075282626288,1
53,7,3,-0.9374821446508234,25,87,-0.08318376022278404,1.6567467057646377,70,3,-0.7279974145890324,0
54,0,3,0.24025338122776266,7,7,-0.802320784084273,-1.51456252856746,58,3,0.3993939274569869,1
55,4,3,0.24025338122776266,25,87,-0.08318376022278404,0.06798904629493698,12,3,0.0648931995971789,1
56,7,3,0.24025338122776266,25,83,-0.802320784084273,-0.7263897834399132,97,3,-0.20766294902933125,0
57,2,3,0.24025338122776266,7,91,-0.802320784084273,0.06798904629493698,58,3,-0.09616270640939516,0
58,11,1,1.110753552529327,25,72,1.3550902875001938,0.06798904629493698,68,3,0.4365606749969659,0
59,2,3,0.24025338122776266,25,83,-0.802320784084273,0.06798904629493698,97,4,-0.09616270640939516,0
60,4,3,1.110753552529327,25,87,1.3550902875001938,0.06798904629493698,98,3,0.8949505613233689,1
61,4,4,-0.5790408976442973,25,38,-0.08318376022278404,0.06798904629493698,70,3,-0.46783018180918184,0
62,10,3,-0.5790408976442973,29,62,-0.08318376022278404,0.06798904629493698,58,3,-0.46783018180918184,1
63,2,3,-0.5790408976442973,25,38,-0.08318376022278404,0.06798904629493698,70,3,-0.8394976572089685,1
64,7,3,0.24025338122776266,25,91,-0.08318376022278404,0.06798904629493698,58,3,-0.2696075282626288,0
65,2,4,0.24025338122776266,25,72,1.3550902875001938,1.6567467057646377,103,3,-0.3439410233425862,0
66,7,3,0.24025338122776266,7,83,-0.802320784084273,1.5822736904769952,12,3,-0.2696075282626288,0
67,7,3,-0.5790408976442973,7,22,-0.802320784084273,-1.3221739057410509,6,3,-0.7899419938223302,1
68,10,3,0.24025338122776266,25,91,-0.802320784084273,-1.51456252856746,58,3,-0.22005186487599082,0
69,2,1,1.110753552529327,25,72,0.6359532636387049,-1.51456252856746,103,4,1.1427288782565603,0
70,13,4,-0.8350703597918161,14,91,-0.802320784084273,-0.7263897834399132,58,5,-1.0228536117395297,0
71,4,4,-0.9374821446508234,29,87,9.984734573838061,0.06798904629493698,98,3,-0.8394976572089685,1
72,4,3,0.24025338122776266,25,87,-0.08318376022278404,0.06798904629493698,98,3,0.15161561052379613,1
73,11,1,1.110753552529327,25,90,-0.08318376022278404,0.06798904629493698,56,3,0.7710614028567738,0
74,0,3,-0.5790408976442973,7,83,-0.08318376022278404,-1.51456252856746,97,3,0.027726452057200486,1
75,2,1,0.24025338122776266,25,72,-0.08318376022278404,-1.51456252856746,56,3,0.15161561052379613,1
76,10,3,0.24025338122776266,25,91,-0.08318376022278404,-1.5083564439601564,58,3,0.15161561052379613,1
77,4,3,0.24025338122776266,25,87,-0.08318376022278404,0.06798904629493698,70,3,-0.07138487471607603,1
78,0,3,0.24025338122776266,25,62,-0.802320784084273,-1.51456252856746,2,3,0.15161561052379613,1
79,7,3,1.110753552529327,25,38,-0.08318376022278404,0.06798904629493698,10,3,0.5232830859235825,0
80,4,4,0.24025338122776266,29,38,-0.08318376022278404,0.06798904629493698,70,3,-0.24482969656930995,0
81,1,4,-1.6031587462343726,21,112,-0.08318376022278404,1.6567467057646377,33,6,-1.434165617848627,1
82,7,3,-0.5790408976442973,25,38,-0.08318376022278404,0.06798904629493698,58,3,-0.5545525927357988,0
83,10,3,0.24025338122776266,25,115,-0.802320784084273,-0.7263897834399132,76,3,0.15161561052379613,1
84,0,3,0.24025338122776266,7,57,-0.802320784084273,-1.51456252856746,101,3,0.027726452057200486,1
85,4,1,0.24025338122776266,29,72,1.3550902875001938,0.06798904629493698,103,3,0.7091168236234757,1
86,7,4,0.24025338122776266,29,87,-0.08318376022278404,0.06798904629493698,48,3,-0.3067742758026075,0
87,7,3,0.24025338122776266,25,91,-0.08318376022278404,0.06798904629493698,58,3,-0.14571836979603342,1
88,2,1,0.24025338122776266,29,72,1.3550902875001938,0.06798904629493698,99,3,0.15161561052379613,0
89,4,4,-0.9374821446508234,29,87,-0.08318376022278404,0.06798904629493698,70,3,-1.0748870582955,0
90,2,1,0.24025338122776266,25,41,-0.08318376022278404,-1.51456252856746,29,3,0.461338506690285,1
91,0,3,0.24025338122776266,25,87,-1.1618892960150173,-1.51456252856746,69,3,0.15161561052379613,0
