,Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,sold
35,10,3,-0.5790408976442973,23,31,-0.802320784084273,0.06798904629493698,44,4,-0.7899419938223302,-1.251128497266033,1
36,0,3,0.24025338122776266,23,108,-0.802320784084273,-1.51456252856746,59,6,0.027726452057200486,-1.082654572817703,0
37,4,3,1.110753552529327,27,45,-0.08318376022278404,0.06798904629493698,37,4,0.8949505613233689,-0.20887455788229634,1
38,7,3,0.24025338122776266,23,51,-0.802320784084273,-1.51456252856746,59,4,-0.2696075282626288,-0.9089122688675565,1
39,7,3,0.24025338122776266,30,45,-0.08318376022278404,0.06798904629493698,9,4,0.027726452057200486,-0.3516490701266438,1
40,2,3,0.24025338122776266,30,91,-0.802320784084273,-1.51456252856746,59,6,-0.09616270640939516,-1.0512441801239465,0
41,4,1,0.24025338122776266,27,6,1.3550902875001938,0.06798904629493698,73,4,0.7091168236234757,0.5335529057883105,0
42,2,3,0.24025338122776266,23,51,-0.08318376022278404,-1.51456252856746,105,6,0.2755047689903912,-0.8599406111677453,0
43,0,3,0.24025338122776266,27,45,-0.802320784084273,0.06798904629493698,29,4,0.15161561052379613,-0.6329148592480085,0
44,4,0,1.110753552529327,14,45,0.6359532636387049,-1.51456252856746,107,4,0.8577838137833905,-0.18031965543342687,1
45,1,4,-0.9374821446508234,7,106,-0.08318376022278404,0.06798904629493698,24,2,-0.8766644047489469,0.4193332959928327,0
47,2,1,1.110753552529327,30,3,-0.08318376022278404,0.06798904629493698,109,4,1.3905071951897516,0.24800388129961556,1
48,4,3,0.24025338122776266,30,51,-0.802320784084273,0.06798904629493698,92,4,0.2755047689903912,-0.6943078995130779,1
49,2,3,1.110753552529327,23,59,-0.802320784084273,-1.51456252856746,25,4,0.8949505613233689,-0.9413078056957991,1
51,0,3,0.24025338122776266,27,117,-0.08318376022278404,0.06798904629493698,87,4,0.15161561052379613,-0.40590338477949583,1
52,7,3,0.24025338122776266,30,73,-0.802320784084273,0.06798904629493698,76,4,-0.2696075282626288,-1.037694878911958,1
53,7,3,-0.9374821446508234,30,117,-0.08318376022278404,1.6567467057646377,29,4,-0.7279974145890324,-0.031834162699305626,0
54,0,3,0.24025338122776266,23,14,-0.802320784084273,-1.51456252856746,59,4,0.3993939274569869,-1.0583829057361638,1
55,4,3,0.24025338122776266,30,117,-0.08318376022278404,0.06798904629493698,98,4,0.0648931995971789,-0.5104143277423583,1
56,7,3,0.24025338122776266,30,91,-0.802320784084273,-0.7263897834399132,56,4,-0.20766294902933125,-0.9798569240017728,0
57,2,3,0.24025338122776266,23,51,-0.802320784084273,0.06798904629493698,59,4,-0.09616270640939516,-0.7697071194293178,0
58,11,1,1.110753552529327,30,6,1.3550902875001938,0.06798904629493698,104,4,0.4365606749969659,1.8899107721096116,0
59,2,3,0.24025338122776266,30,91,-0.802320784084273,0.06798904629493698,56,6,-0.09616270640939516,-1.0141228069404162,1
60,4,3,1.110753552529327,30,117,1.3550902875001938,0.06798904629493698,37,4,0.8949505613233689,0.24800388129961556,0
61,4,4,-0.5790408976442973,30,45,-0.08318376022278404,0.06798904629493698,29,4,-0.46783018180918184,-0.3516490701266438,1
62,10,3,-0.5790408976442973,27,108,-0.08318376022278404,0.06798904629493698,59,4,-0.46783018180918184,-0.7514177044108168,1
63,2,3,-0.5790408976442973,30,45,-0.08318376022278404,0.06798904629493698,29,4,-0.8394976572089685,-0.2631288725351484,0
64,7,3,0.24025338122776266,30,51,-0.08318376022278404,0.06798904629493698,59,4,-0.2696075282626288,-0.6214928982684607,1
65,2,4,0.24025338122776266,30,6,1.3550902875001938,1.6567467057646377,10,4,-0.3439410233425862,1.2245815450509525,1
66,7,3,0.24025338122776266,23,91,-0.802320784084273,1.5822736904769952,98,4,-0.2696075282626288,-0.9802995249897303,0
67,7,3,-0.5790408976442973,23,37,-0.802320784084273,-1.3221739057410509,68,4,-0.7899419938223302,-1.2796833997149024,0
68,10,3,0.24025338122776266,30,51,-0.802320784084273,-1.51456252856746,59,4,-0.22005186487599082,-0.8228049605329906,1
69,2,1,1.110753552529327,30,6,0.6359532636387049,-1.51456252856746,10,6,1.1427288782565603,-0.2517069115556006,1
70,13,4,-0.8350703597918161,15,51,-0.802320784084273,-0.7263897834399132,59,1,-1.0228536117395297,-0.05182259441351423,1
71,4,4,-0.9374821446508234,27,117,9.984734573838061,0.06798904629493698,37,4,-0.8394976572089685,-0.24314044082093977,1
72,4,3,0.24025338122776266,30,117,-0.08318376022278404,0.06798904629493698,37,4,0.15161561052379613,-0.3644987762286352,0
73,11,1,1.110753552529327,30,97,-0.08318376022278404,0.06798904629493698,69,4,0.7710614028567738,-0.04325612367885337,0
