PCA1,PCA2
-2.346993721714425,-1.8125211525586378
-2.3458796153672825,-1.8127317281631197
-2.3447170027879984,-1.812953357685365
-2.3444735228241522,-1.8129655292494018
-2.3444895523663423,-1.8129185620881265
-2.344813553023654,-1.8128014124527703
-2.344441546774676,-1.812842873428158
-2.343533588518902,-1.813006470655873
-2.343576276456898,-1.8129534284048219
-2.34346133732918,-1.8129363072415314
-2.343605892913985,-1.8128600507241714
-2.3435443004074217,-1.8128307725835782
-2.3441738892116484,-1.8126439835205377
-2.34554799091179,-1.8122875299842545
-2.3455106587967953,-1.8122527232267909
-2.344731226583636,-1.8123870310984214
-2.3444392403876484,-1.8124102565802218
-2.3451973700280035,-1.8121941747898533
-2.346724258404845,-1.8118029032253493
-2.3458429733383905,-1.8119604219920464
-2.3459608406978467,-1.8118902473622136
-2.3451280473125364,-1.8120367155271226
-2.3438102352588017,-1.8122937129217376
-2.342953196032919,-1.8124457063875394
-2.3418924363069307,-1.8126441250147194
-2.3417265633558086,-1.8126386109845836
-2.341434591953334,-1.8126618330951412
-2.3411159323255104,-1.8126911370932264
-2.3406954200869077,-1.8127436519311115
-2.339991167537726,-1.8128608273686935
-2.340109034897182,-1.8127906527388613
-2.3390216017393586,-1.812995149882324
-2.3387805641602886,-1.8130067648597286
-2.338847497938857,-1.8129481973077832
-2.338938706902508,-1.8128840977677256
-2.3385958014341117,-1.8129189270667048
-2.3380976821827857,-1.8129891274987637
-2.3379318092316628,-1.8129836134686272
-2.3377174300483987,-1.8129891533562552
-2.339064873352734,-1.8126387749097481
-2.3392846083589998,-1.8125453860136058
-2.3386337021884565,-1.8126504045291514
-2.3389043562246132,-1.8125454118710975
-2.3398952923521428,-1.8122762766141867
-2.3392928926562564,-1.8123702411567024
-2.3396411684986504,-1.8122475595332335
-2.339914250126071,-1.8121420136597883
-2.340441971283488,-1.8119784388630564
-2.340865426789859,-1.8118386248055391
-2.3414198211365957,-1.8116689715477894
-2.3429224784663782,-1.8112832219129356
-2.3416555708915383,-1.8115286188616146
-2.341875305897804,-1.8114352299654728
-2.3425315678913496,-1.8112423624414133
-2.344623538885113,-1.8107223161504211
-2.3430753183484403,-1.8110318205386722
-2.3436030395058576,-1.8108682457419407
-2.345695010499621,-1.810348199450949
-2.34324706279907,-1.8108627395560533
-2.342108695817841,-1.811078843832671
-2.3413801826345737,-1.8112015479423893
-2.3410106042193752,-1.81124245564712
-2.3402311720062166,-1.8113767635187503
-2.3394493122017948,-1.811511624605772
-2.3396714600058104,-1.8114176858654816
-2.3394546682673125,-1.8114237755419913
-2.3393930757607495,-1.811394497401398
-2.339355743645755,-1.8113596906439349
-2.339396018786001,-1.811307198237033
-2.339693346253994,-1.8111961270626948
-2.3399664426749274,-1.8110905778180064
-2.339902422577101,-1.8110618528928042
-2.3404058978939455,-1.8109038033969658
-2.3408560268321525,-1.8107579108231642
-2.340767760893754,-1.8107347111988552
-2.3413730890638944,-1.8105534508079508
-2.341568578472104,-1.8104655871574362
-2.3411480662335014,-1.8105181019953211
-2.3404704868736386,-1.810629198971885
-2.3405107469778548,-1.8105767099914911
-2.3398841014413967,-1.810676199834901
-2.339233195513369,-1.8107812182951804
-2.33863322316623,-1.8108746296775715
-2.3386225644830714,-1.8108337444038232
-2.338534298787189,-1.810810544724248
-2.3380628672761783,-1.8108746633793118
-2.3379746015802962,-1.8108514636997366
-2.337015694707604,-1.8110266714318486
-2.336849836549995,-1.8110211540304704
-2.3366354573667305,-1.811026693918098
-2.3365205184815294,-1.8110095726995417
-2.3369730599749694,-1.810863130336857
-2.3369624012918107,-1.810822245063109
-2.3363866895787573,-1.8109101277733646
-2.335915243274233,-1.8109742497996704
-2.335647517712331,-1.8109919466093345
-2.3352512510717838,-1.8110389362015924
-2.3344208850352204,-1.811184851206377
-2.3339227803348903,-1.8112550483224594
-2.3340915817602683,-1.811173266504206
-2.333748676534389,-1.8112080957479186
-2.33409693758327,-1.811085417495692
-2.3339577380639827,-1.8110738249492715
-2.3337918799063733,-1.8110683075478926
-2.334140141197771,-1.8109456292404
-2.3347454693679115,-1.8107643688494952
-2.3355302721975857,-1.8105422085981084
-2.335364399246463,-1.8105366945679724
-2.335661741507969,-1.8104256200223914
-2.3354716229587904,-1.8104256312378828
-2.3352572437755263,-1.8104311711255108
-2.335937766160641,-1.8102327749845815
-2.336644947184078,-1.81002830369861
-2.336789502768883,-1.8099520471812496
-2.3374966985858334,-1.809747572524036
-2.3380244197432503,-1.809583997727304
-2.3380913680728157,-1.8095254268593826
-2.3377217894151006,-1.8095663346193802
-2.3373764568404747,-1.8096017170232173
-2.3364951569805066,-1.8097592391611563
-2.3362783649994925,-1.8097653288929316
-2.335576525005544,-1.8098819545416325
-2.3353330600777276,-1.809894122679161
-2.3353733201819438,-1.809841633698767
-2.3353626614987855,-1.8098007484250191
-2.3351216239197155,-1.8098123634024228
-2.3344440445598527,-1.8099234603789867
-2.3331019573210354,-1.810185989761713
-2.3328851653400213,-1.810192079493489
-2.3327726540460834,-1.8101744050595414
-2.332427321228941,-1.810209787518646
-2.333032649399082,-1.8100285271277405
